peclet,effective_diffusivity
17.55,2.4666785714285715
17.6,2.4750476190476194
17.650000000000002,2.4834404761904767
17.7,2.4918571428571425
17.75,2.500297619047619
17.8,2.508761904761905
17.85,2.51725
17.900000000000002,2.525761904761905
17.95,2.534297619047619
18.0,2.5428571428571427
18.05,2.5514404761904763
18.1,2.5600476190476193
18.150000000000002,2.568678571428572
18.2,2.577333333333333
18.25,2.5860119047619046
18.3,2.5947142857142858
18.35,2.6034404761904764
18.400000000000002,2.6121904761904764
18.45,2.620964285714286
18.5,2.6297619047619047
18.55,2.6385833333333335
18.6,2.6474285714285717
18.650000000000002,2.6562976190476197
18.7,2.6651904761904763
18.75,2.674107142857143
18.8,2.6830476190476196
18.85,2.692011904761905
18.900000000000002,2.7010000000000005
18.95,2.7100119047619047
19.0,2.719047619047619
19.05,2.728107142857143
19.1,2.7371904761904764
19.150000000000002,2.7462976190476196
19.200000000000003,2.7554285714285722
19.25,2.7645833333333334
19.3,2.773761904761905
19.35,2.782964285714286
19.400000000000002,2.7921904761904766
19.450000000000003,2.8014404761904768
19.5,2.810714285714286
19.55,2.820011904761905
19.6,2.8293333333333335
19.650000000000002,2.838678571428572
19.700000000000003,2.8480476190476196
19.75,2.857440476190476
19.8,2.866857142857143
19.85,2.8762976190476195
19.900000000000002,2.885761904761905
19.950000000000003,2.8952500000000008
20.0,2.9047619047619047
